country;species;LifeForm;count;firstRec
United Kingdom;Anotrichium furcellatum;Algae;12;2008
Sea or Ocean;Anotrichium furcellatum;Algae;3;2015
Sea or Ocean;Antithamnionella spirographidis;Algae;4;2012
Netherlands;Caulacanthus okamurae;Algae;1;2018
Sea or Ocean;Caulacanthus okamurae;Algae;4;2017
Sea or Ocean;Caulerpa taxifolia;Algae;6;2018
United Kingdom;Ceramium botryocarpum;Algae;2;2017
Sea or Ocean;Ceramium botryocarpum;Algae;2;2014
United Kingdom;Ceramium cimbricum;Algae;1;2013
Sea or Ocean;Ceramium cimbricum;Algae;6;2012
Norway;Ceramium tenuicorne;Algae;8;2012
Sea or Ocean;Ceramium tenuicorne;Algae;2;2013
Ireland;Dasysiphonia japonica;Algae;5;2017
Jersey;Dasysiphonia japonica;Algae;1;2019
Netherlands;Dasysiphonia japonica;Algae;2;2015
Norway;Dasysiphonia japonica;Algae;36;2000
United Kingdom;Dasysiphonia japonica;Algae;77;2013
Sea or Ocean;Dasysiphonia japonica;Algae;216;1996
Norway;Gracilaria vermiculophylla;Algae;34;2012
Sea or Ocean;Gracilaria vermiculophylla;Algae;23;2008
Sea or Ocean;Ulva gigantea;Algae;1;2014
Sea or Ocean;Umbraulva dangeardii;Algae;2;2014
Spain;Ommatotriton ophryticus;Amphibians;4;2021
Sea or Ocean;Ommatotriton ophryticus;Amphibians;9;2012
Austria;Aceria kuko;Arthropods p.p. (Myriapods, Diplopods etc.);2;2019
France;Aceria kuko;Arthropods p.p. (Myriapods, Diplopods etc.);2;2020
Slovakia;Aceria kuko;Arthropods p.p. (Myriapods, Diplopods etc.);1;2020
Ukraine;Aceria kuko;Arthropods p.p. (Myriapods, Diplopods etc.);4;2018
Netherlands;Ammothea hilgendorfi;Arthropods p.p. (Myriapods, Diplopods etc.);9;2017
Sea or Ocean;Ammothea hilgendorfi;Arthropods p.p. (Myriapods, Diplopods etc.);13;2014
Belgium;Boreoiulus tenuis;Arthropods p.p. (Myriapods, Diplopods etc.);2;2019
Sweden;Boreoiulus tenuis;Arthropods p.p. (Myriapods, Diplopods etc.);10;2007
Sea or Ocean;Boreoiulus tenuis;Arthropods p.p. (Myriapods, Diplopods etc.);3;2012
Netherlands;Cylindroiulus apenninorum;Arthropods p.p. (Myriapods, Diplopods etc.);11;2015
Italy;Dicranopalpus larvatus;Arthropods p.p. (Myriapods, Diplopods etc.);5;2020
United Kingdom;Dicranopalpus larvatus;Arthropods p.p. (Myriapods, Diplopods etc.);3;2020
Belgium;Orthochordeumella pallida;Arthropods p.p. (Myriapods, Diplopods etc.);2;2017
Sweden;Orthochordeumella pallida;Arthropods p.p. (Myriapods, Diplopods etc.);3;2018
Spain;Panonychus citri;Arthropods p.p. (Myriapods, Diplopods etc.);2;2021
France;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);10;2017
Germany;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);7;2017
