"country";"LifeForm";"count"
"Albania";"Algae";2
"Austria";"Algae";475
"Belarus";"Algae";76
"Belgium";"Algae";1375
"Bulgaria";"Algae";2
"Croatia";"Algae";12
"Czech Republic";"Algae";76
"Denmark";"Algae";51
"Estonia";"Algae";54
"Finland";"Algae";215
"France";"Algae";462
"Germany";"Algae";3718
"Greece";"Algae";48
"Guernsey";"Algae";54
"Hungary";"Algae";30
"Iceland";"Algae";5
"Ireland";"Algae";222
"Isle of Man";"Algae";120
"Italy";"Algae";303
"Jersey";"Algae";14
"Latvia";"Algae";9
"Lithuania";"Algae";498
"Luxembourg";"Algae";147
"Montenegro";"Algae";1
"Netherlands";"Algae";17779
"Norway";"Algae";21610
"Poland";"Algae";103
"Portugal";"Algae";214
"Romania";"Algae";7
"Serbia";"Algae";10
"Slovakia";"Algae";84
"Slovenia";"Algae";33
"Spain";"Algae";196
"Sweden";"Algae";203
"Switzerland";"Algae";105
"Ukraine";"Algae";58
"United Kingdom";"Algae";12372
"Sea or Ocean";"Algae";46628
"Aaland Islands";"Amphibians";1
"Albania";"Amphibians";128
"Andorra";"Amphibians";4
"Austria";"Amphibians";5473
"Belarus";"Amphibians";378
"Belgium";"Amphibians";15091
"Bosnia and Herzegovina";"Amphibians";83
"Bulgaria";"Amphibians";705
"Croatia";"Amphibians";1527
"Czech Republic";"Amphibians";1266
"Denmark";"Amphibians";8441
"Estonia";"Amphibians";125
"Finland";"Amphibians";532
"France";"Amphibians";9115
"Germany";"Amphibians";66712
"Greece";"Amphibians";1624
"Hungary";"Amphibians";612
"Ireland";"Amphibians";85
"Isle of Man";"Amphibians";5
"Italy";"Amphibians";15102
"Jersey";"Amphibians";2
"Latvia";"Amphibians";28
"Liechtenstein";"Amphibians";1
"Lithuania";"Amphibians";480
"Luxembourg";"Amphibians";423
"Malta";"Amphibians";5
"Montenegro";"Amphibians";167
"Netherlands";"Amphibians";147230
"Norway";"Amphibians";13283
"Poland";"Amphibians";1637
"Portugal";"Amphibians";4149
"Republic of Moldova";"Amphibians";21
"Romania";"Amphibians";1002
"Serbia";"Amphibians";157
"Slovakia";"Amphibians";464
"Slovenia";"Amphibians";726
"Spain";"Amphibians";11103
"Sweden";"Amphibians";43758
"Switzerland";"Amphibians";1464
"The former Yugoslav Republic of Macedonia";"Amphibians";73
"Ukraine";"Amphibians";601
"United Kingdom";"Amphibians";5274
"Sea or Ocean";"Amphibians";43115
"Aaland Islands";"Arthropods p.p. (Myriapods, Diplopods etc.)";4
"Albania";"Arthropods p.p. (Myriapods, Diplopods etc.)";152
"Austria";"Arthropods p.p. (Myriapods, Diplopods etc.)";5510
"Belarus";"Arthropods p.p. (Myriapods, Diplopods etc.)";942
"Belgium";"Arthropods p.p. (Myriapods, Diplopods etc.)";5304
"Bosnia and Herzegovina";"Arthropods p.p. (Myriapods, Diplopods etc.)";50
"Bulgaria";"Arthropods p.p. (Myriapods, Diplopods etc.)";249
"Croatia";"Arthropods p.p. (Myriapods, Diplopods etc.)";676
"Czech Republic";"Arthropods p.p. (Myriapods, Diplopods etc.)";2170
"Denmark";"Arthropods p.p. (Myriapods, Diplopods etc.)";3729
"Estonia";"Arthropods p.p. (Myriapods, Diplopods etc.)";83
"Finland";"Arthropods p.p. (Myriapods, Diplopods etc.)";2737
"France";"Arthropods p.p. (Myriapods, Diplopods etc.)";17200
"Germany";"Arthropods p.p. (Myriapods, Diplopods etc.)";45108
"Greece";"Arthropods p.p. (Myriapods, Diplopods etc.)";2883
"Guernsey";"Arthropods p.p. (Myriapods, Diplopods etc.)";2
"Hungary";"Arthropods p.p. (Myriapods, Diplopods etc.)";478
"Iceland";"Arthropods p.p. (Myriapods, Diplopods etc.)";33
"Ireland";"Arthropods p.p. (Myriapods, Diplopods etc.)";275
"Isle of Man";"Arthropods p.p. (Myriapods, Diplopods etc.)";5
"Italy";"Arthropods p.p. (Myriapods, Diplopods etc.)";11929
"Jersey";"Arthropods p.p. (Myriapods, Diplopods etc.)";6
"Latvia";"Arthropods p.p. (Myriapods, Diplopods etc.)";62
"Liechtenstein";"Arthropods p.p. (Myriapods, Diplopods etc.)";5
"Lithuania";"Arthropods p.p. (Myriapods, Diplopods etc.)";1453
"Luxembourg";"Arthropods p.p. (Myriapods, Diplopods etc.)";620
"Malta";"Arthropods p.p. (Myriapods, Diplopods etc.)";4
"Montenegro";"Arthropods p.p. (Myriapods, Diplopods etc.)";133
"Netherlands";"Arthropods p.p. (Myriapods, Diplopods etc.)";80629
"Norway";"Arthropods p.p. (Myriapods, Diplopods etc.)";41854
"Poland";"Arthropods p.p. (Myriapods, Diplopods etc.)";1359
"Portugal";"Arthropods p.p. (Myriapods, Diplopods etc.)";2904
"Republic of Moldova";"Arthropods p.p. (Myriapods, Diplopods etc.)";67
"Romania";"Arthropods p.p. (Myriapods, Diplopods etc.)";414
"San Marino";"Arthropods p.p. (Myriapods, Diplopods etc.)";2
"Serbia";"Arthropods p.p. (Myriapods, Diplopods etc.)";249
"Slovakia";"Arthropods p.p. (Myriapods, Diplopods etc.)";283
"Slovenia";"Arthropods p.p. (Myriapods, Diplopods etc.)";473
"Spain";"Arthropods p.p. (Myriapods, Diplopods etc.)";5663
"Sweden";"Arthropods p.p. (Myriapods, Diplopods etc.)";112560
"Switzerland";"Arthropods p.p. (Myriapods, Diplopods etc.)";1583
"The former Yugoslav Republic of Macedonia";"Arthropods p.p. (Myriapods, Diplopods etc.)";34
"Ukraine";"Arthropods p.p. (Myriapods, Diplopods etc.)";1338
"United Kingdom";"Arthropods p.p. (Myriapods, Diplopods etc.)";10358
"Sea or Ocean";"Arthropods p.p. (Myriapods, Diplopods etc.)";69039
"Albania";"Bacteria and protozoans";1
"Austria";"Bacteria and protozoans";99
"Belarus";"Bacteria and protozoans";34
"Belgium";"Bacteria and protozoans";243
"Bulgaria";"Bacteria and protozoans";4
"Croatia";"Bacteria and protozoans";15
"Czech Republic";"Bacteria and protozoans";70
"Denmark";"Bacteria and protozoans";4940
"Estonia";"Bacteria and protozoans";19
"Finland";"Bacteria and protozoans";275
"France";"Bacteria and protozoans";322
"Germany";"Bacteria and protozoans";2259
"Greece";"Bacteria and protozoans";32
"Iceland";"Bacteria and protozoans";3
"Ireland";"Bacteria and protozoans";8
"Italy";"Bacteria and protozoans";202
"Latvia";"Bacteria and protozoans";10
"Liechtenstein";"Bacteria and protozoans";10
"Lithuania";"Bacteria and protozoans";278
"Luxembourg";"Bacteria and protozoans";4
"Netherlands";"Bacteria and protozoans";10764
"Norway";"Bacteria and protozoans";9400
"Poland";"Bacteria and protozoans";88
"Portugal";"Bacteria and protozoans";89
"Romania";"Bacteria and protozoans";7
"Serbia";"Bacteria and protozoans";15
"Slovakia";"Bacteria and protozoans";9
"Slovenia";"Bacteria and protozoans";9
"Spain";"Bacteria and protozoans";229
"Sweden";"Bacteria and protozoans";10841
"Switzerland";"Bacteria and protozoans";4116
"Ukraine";"Bacteria and protozoans";77
"United Kingdom";"Bacteria and protozoans";557
"Sea or Ocean";"Bacteria and protozoans";5879
"Aaland Islands";"Birds";1699
"Albania";"Birds";9437
"Andorra";"Birds";1288
"Austria";"Birds";384808
"Belarus";"Birds";100770
"Belgium";"Birds";788948
"Bosnia and Herzegovina";"Birds";12676
"Bulgaria";"Birds";249237
"Croatia";"Birds";159134
"Czech Republic";"Birds";725131
"Denmark";"Birds";14701881
"Estonia";"Birds";50487
"Faroe Islands";"Birds";7115
"Finland";"Birds";603277
"France";"Birds";1858205
"Germany";"Birds";7836388
"Greece";"Birds";452825
"Guernsey";"Birds";2167
"Hungary";"Birds";336853
"Iceland";"Birds";502500
"Ireland";"Birds";395298
"Isle of Man";"Birds";26511
"Italy";"Birds";590026
"Jersey";"Birds";7880
"Latvia";"Birds";40687
"Liechtenstein";"Birds";1839
"Lithuania";"Birds";102109
"Luxembourg";"Birds";31830
"Malta";"Birds";3950
"Montenegro";"Birds";12459
"Netherlands";"Birds";2058938
"Norway";"Birds";12396174
"Poland";"Birds";409372
"Portugal";"Birds";4044501
"Republic of Moldova";"Birds";40544
"Romania";"Birds";119027
"San Marino";"Birds";74
"Serbia";"Birds";430864
"Slovakia";"Birds";79051
"Slovenia";"Birds";78261
"Spain";"Birds";10201950
"Svalbard";"Birds";4
"Sweden";"Birds";38556181
"Switzerland";"Birds";555029
"The former Yugoslav Republic of Macedonia";"Birds";38613
"Ukraine";"Birds";287041
"United Kingdom";"Birds";9941295
"Sea or Ocean";"Birds";44080236
"Belgium";"Bryozoa";6
"Croatia";"Bryozoa";2
"Czech Republic";"Bryozoa";9
"Denmark";"Bryozoa";16
"Finland";"Bryozoa";3
"France";"Bryozoa";62
"Germany";"Bryozoa";25
"Guernsey";"Bryozoa";2
"Ireland";"Bryozoa";178
"Isle of Man";"Bryozoa";50
"Italy";"Bryozoa";11
"Jersey";"Bryozoa";1
"Latvia";"Bryozoa";1
"Lithuania";"Bryozoa";2
"Luxembourg";"Bryozoa";2
"Netherlands";"Bryozoa";20
"Norway";"Bryozoa";92
"Portugal";"Bryozoa";3
"Romania";"Bryozoa";2
"Spain";"Bryozoa";12
"Sweden";"Bryozoa";95
"United Kingdom";"Bryozoa";8039
"Sea or Ocean";"Bryozoa";28258
"Aaland Islands";"Crustaceans";2
"Albania";"Crustaceans";48
"Austria";"Crustaceans";729
"Belarus";"Crustaceans";51
"Belgium";"Crustaceans";1606
"Bosnia and Herzegovina";"Crustaceans";2
"Bulgaria";"Crustaceans";17
"Croatia";"Crustaceans";211
"Czech Republic";"Crustaceans";270
"Denmark";"Crustaceans";1083
"Estonia";"Crustaceans";11
"Finland";"Crustaceans";98
"France";"Crustaceans";2863
"Germany";"Crustaceans";5198
