"","species","Region","LifeForm3","timeLag","off_FirstRec","cs_FirstRec"
"1","Pinus sylvestris","Belgium","PLANTS&ALGAE",-29,2020,1991
"2","Himantopus mexicanus","Belgium","VERT",-28,2019,1991
"3","Lotus corniculatus","Belgium","PLANTS&ALGAE",-28,2019,1991
"4","Equisetum variegatum","Sweden","PLANTS&ALGAE",-27,2017,1990
"5","Polystichum aculeatum","Sweden","PLANTS&ALGAE",-27,2017,1990
"6","Heracleum sphondylium","Belgium","PLANTS&ALGAE",-26,2017,1991
"7","Oenothera glazioviana","Belgium","PLANTS&ALGAE",-26,2017,1991
"8","Galanthus nivalis","Belgium","PLANTS&ALGAE",-24,2014,1990
"9","Raphanus raphanistrum","Belgium","PLANTS&ALGAE",-23,2015,1992
"10","Scardinius erythrophthalmus","Norway","VERT",-22,2014,1992
"11","Carex pendula","Belgium","PLANTS&ALGAE",-21,2017,1996
"12","Lophodytes cucullatus","Belgium","VERT",-21,2011,1990
"13","Rumex crispus","Belgium","PLANTS&ALGAE",-21,2012,1991
"14","Sempervivum arachnoideum","Austria","PLANTS&ALGAE",-21,2016,1995
"15","Picea abies","Belgium","PLANTS&ALGAE",-20,2013,1993
"16","Sus scrofa","Spain","VERT",-20,2019,1999
"17","Blitum virgatum","Belgium","PLANTS&ALGAE",-19,2019,2000
"18","Cornus sanguinea","Belgium","PLANTS&ALGAE",-19,2010,1991
"19","Hippophae rhamnoides","Belgium","PLANTS&ALGAE",-19,2010,1991
"20","Potentilla recta","Belgium","PLANTS&ALGAE",-19,2011,1992
"21","Mahonia aquifolium","Belgium","PLANTS&ALGAE",-18,2016,1998
"22","Misgurnus fossilis","Netherlands","VERT",-18,2012,1994
"23","Muscari armeniacum","Belgium","PLANTS&ALGAE",-18,2019,2001
"24","Opuntia ficus-indica","Spain","PLANTS&ALGAE",-17,2016,1999
"25","Tilia tomentosa","Belgium","PLANTS&ALGAE",-17,2016,1999
"26","Abies grandis","Belgium","PLANTS&ALGAE",-16,2019,2003
"27","Cancer pagurus","Norway","INV",-16,2014,1998
"28","Narcissus pseudonarcissus","Belgium","PLANTS&ALGAE",-16,2013,1997
"29","Veronica teucrium","Belgium","PLANTS&ALGAE",-16,2013,1997
"30","Cynomys ludovicianus","Belgium","VERT",-15,2018,2003
"31","Morus nigra","Belgium","PLANTS&ALGAE",-15,2014,1999
"32","Acer saccharinum","Belgium","PLANTS&ALGAE",-14,2020,2006
"33","Hyacinthus orientalis","Belgium","PLANTS&ALGAE",-14,2015,2001
"34","Myosotis alpestris","Belgium","PLANTS&ALGAE",-14,2016,2002
"35","Armeria maritima","Belgium","PLANTS&ALGAE",-13,2020,2007
"36","Erigeron annuus","Italy","PLANTS&ALGAE",-13,2018,2005
"37","Ovis aries","Spain","VERT",-13,2020,2007
"38","Chrysolina americana","Belgium","INV",-12,2018,2006
"39","Crocus tommasinianus","Belgium","PLANTS&ALGAE",-12,2020,2008
"40","Ziziphus lotus","Belgium","PLANTS&ALGAE",-12,2019,2007
"41","Allium cepa","Belgium","PLANTS&ALGAE",-11,2017,2006
"42","Anas hottentota","Spain","VERT",-11,2014,2003
"43","Physostegia virginiana","Belgium","PLANTS&ALGAE",-11,2018,2007
"44","Canna generalis","Belgium","PLANTS&ALGAE",-10,2019,2009
"45","Ctenolepisma longicaudatum","Belgium","INV",-10,2018,2008
"46","Leycesteria formosa","Belgium","PLANTS&ALGAE",-10,2017,2007
"47","Ctenolepisma lineata","Belgium","INV",-9,2018,2009
"48","Cyclachaena xanthiifolia","Belgium","PLANTS&ALGAE",-9,2015,2006
"49","Dryopteris cycadina","Belgium","PLANTS&ALGAE",-9,2015,2006
"50","Bucorvus leadbeateri","Belgium","VERT",-8,2018,2010
"51","Cyanoramphus novaezelandiae","Belgium","VERT",-8,2013,2005
"52","Cydalima perspectalis","Belgium","INV",-8,2018,2010
"53","Cygnus melancoryphus","Portugal","VERT",-8,2014,2006
"54","Laurus nobilis","Belgium","PLANTS&ALGAE",-8,2017,2009
"55","Oenothera lindheimeri","Belgium","PLANTS&ALGAE",-8,2017,2009
"56","Abies nordmanniana","Belgium","PLANTS&ALGAE",-7,2016,2009
"57","Ballota nigra","Belgium","PLANTS&ALGAE",-7,2014,2007
"58","Erythranthe guttata","Belgium","PLANTS&ALGAE",-7,2012,2005
"59","Leucaena leucocephala","Spain","PLANTS&ALGAE",-7,2018,2011
"60","Oenothera rubricaulis","Belgium","PLANTS&ALGAE",-7,2014,2007
"61","Smyrnium olusatrum","Belgium","PLANTS&ALGAE",-7,2016,2009
"62","Sus scrofa","Poland","VERT",-7,2013,2006
"63","Akebia quinata","Belgium","PLANTS&ALGAE",-6,2015,2009
"64","Bromus carinatus","Belgium","PLANTS&ALGAE",-6,2013,2007
"65","Bromus japonicus","Belgium","PLANTS&ALGAE",-6,2013,2007
