"SeebName";"species";"phylum";"class";"kingdom";"LifeForm"
"Aphis illinoisensis";"Aphis illinoisensis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Obolodiplosis robiniae";"Obolodiplosis robiniae";"Arthropoda";"Insecta";"Animalia";"Insects"
"Acer negundo";"Acer negundo";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Albizia julibrissin";"Albizia julibrissin";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Alcea rosea";"Alcea rosea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Aralia spinosa";"Aralia spinosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Artemisia verlotiorum";"Artemisia verlotiorum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Azolla filiculoides";"Azolla filiculoides";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Bougainvillea glabra";"Bougainvillea glabra";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Broussonetia papyrifera";"Broussonetia papyrifera";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Buddleja davidii";"Buddleja davidii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Calendula officinalis";"Calendula officinalis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Campsis radicans";"Campsis radicans";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Canna indica";"Canna indica";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Cannabis sativa";"Cannabis sativa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cardiospermum halicacabum";"Cardiospermum halicacabum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cedrus deodara";"Cedrus deodara";"Tracheophyta";"Pinopsida";"Plantae";"Vascular plants"
"Commelina communis";"Commelina communis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Cucurbita pepo";"Cucurbita pepo";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cyclospermum leptophyllum";"Cyclospermum leptophyllum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cynara scolymus";"Cynara scolymus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cyperus alternifolius";"Cyperus alternifolius";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Eclipta prostrata";"Eclipta prostrata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Erigeron annuus";"Erigeron annuus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Eucalyptus camaldulensis";"Eucalyptus camaldulensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Eucalyptus globulus";"Eucalyptus globulus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Euphorbia lathyris";"Euphorbia lathyris";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Fallopia aubertii";"Fallopia baldschuanica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Hedera algeriensis";"Hedera algeriensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Hordeum distichon";"Hordeum distichon";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Impatiens balsamina";"Impatiens balsamina";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Lactuca sativa";"Lactuca sativa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Mirabilis jalapa";"Mirabilis jalapa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Morus nigra";"Morus nigra";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Panicum dichotomiflorum";"Panicum dichotomiflorum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Parthenocissus quinquefolia";"Parthenocissus quinquefolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Phaseolus vulgaris";"Phaseolus vulgaris";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Phoenix canariensis";"Phoenix canariensis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Salix babylonica";"Salix babylonica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Senecio angulatus";"Senecio angulatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sisyrinchium angustifolium";"Sisyrinchium angustifolium";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Solanum tuberosum";"Solanum tuberosum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Symphoricarpos albus";"Symphoricarpos albus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tagetes erecta";"Tagetes erecta";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tagetes minuta";"Tagetes minuta";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Triticum aestivum";"Triticum aestivum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Veronica peregrina";"Veronica peregrina";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Vicia faba";"Vicia faba";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Washingtonia robusta";"Washingtonia robusta";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Zantedeschia aethiopica";"Zantedeschia aethiopica";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Zea mays";"Zea mays";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Corythucha arcuata";"Corythucha arcuata";"Arthropoda";"Insecta";"Animalia";"Insects"
"Trichopoda pennipes";"Trichopoda pennipes";"Arthropoda";"Insecta";"Animalia";"Insects"
"Equisetum palustre";"Equisetum palustre";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Belonochilus numenius";"Belonochilus numenius";"Arthropoda";"Insecta";"Animalia";"Insects"
"Ceratitis capitata";"Ceratitis capitata";"Arthropoda";"Insecta";"Animalia";"Insects"
"Drosophila suzukii";"Drosophila suzukii";"Arthropoda";"Insecta";"Animalia";"Insects"
"Dryocosmus kuriphilus";"Dryocosmus kuriphilus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Luperomorpha xanthodera";"Luperomorpha xanthodera";"Arthropoda";"Insecta";"Animalia";"Insects"
"Stephanitis takeyai";"Stephanitis takeyai";"Arthropoda";"Insecta";"Animalia";"Insects"
"Stragania apicalis";"Stragania apicalis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Tuta absoluta";"Phthorimaea absoluta";"Arthropoda";"Insecta";"Animalia";"Insects"
"Ceterach officinarum";"Asplenium ceterach";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Achillea clypeolata";"Achillea clypeolata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Agastache rugosa";"Agastache rugosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis x ottawensis";"Berberis ottawensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cicer arietinum";"Cicer arietinum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Mahonia x decumbens";"Mahonia decumbens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Mahonia x wagneri";"Mahonia wagneri";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Ornithogalum oligophyllum";"Ornithogalum oligophyllum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Psephellus dealbatus";"Psephellus dealbatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Salix babylonica var. pekinensis cv. 'Tortuosa'";"Salix babylonica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Selinum silaifolium";"Katapsuxis silaifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sida hermaphrodita";"Ripariosida hermaphrodita";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Chamaesyce canescens";"Euphorbia chamaesyce";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
