"species";"LifeForm";"Region";"off_FirstRec"
"Aphis illinoisensis";"Insects";"Albania";2011
"Corythucha arcuata";"Insects";"Albania";2016
"Obolodiplosis robiniae";"Insects";"Albania";2010
"Trichopoda pennipes";"Insects";"Albania";2019
"Acer negundo";"Vascular plants";"Albania";2013
"Albizia julibrissin";"Vascular plants";"Albania";2011
"Alcea rosea";"Vascular plants";"Albania";2011
"Aralia spinosa";"Vascular plants";"Albania";2010
"Artemisia verlotiorum";"Vascular plants";"Albania";2012
"Azolla filiculoides";"Vascular plants";"Albania";2013
"Bougainvillea glabra";"Vascular plants";"Albania";2013
"Broussonetia papyrifera";"Vascular plants";"Albania";2011
"Buddleja davidii";"Vascular plants";"Albania";2010
"Calendula officinalis";"Vascular plants";"Albania";2011
"Campsis radicans";"Vascular plants";"Albania";2011
"Canna indica";"Vascular plants";"Albania";2013
"Cannabis sativa";"Vascular plants";"Albania";2013
"Cardiospermum halicacabum";"Vascular plants";"Albania";2013
"Cedrus deodara";"Vascular plants";"Albania";2011
"Commelina communis";"Vascular plants";"Albania";2010
"Cucurbita pepo";"Vascular plants";"Albania";2011
"Cyclospermum leptophyllum";"Vascular plants";"Albania";2010
"Cynara scolymus";"Vascular plants";"Albania";2013
"Cyperus alternifolius";"Vascular plants";"Albania";2011
"Eclipta prostrata";"Vascular plants";"Albania";2013
"Erigeron annuus";"Vascular plants";"Albania";2013
"Eucalyptus camaldulensis";"Vascular plants";"Albania";2011
"Eucalyptus globulus";"Vascular plants";"Albania";2011
"Euphorbia lathyris";"Vascular plants";"Albania";2012
"Fallopia baldschuanica";"Vascular plants";"Albania";2011
"Hedera algeriensis";"Vascular plants";"Albania";2011
"Hordeum distichon";"Vascular plants";"Albania";2011
"Impatiens balsamina";"Vascular plants";"Albania";2011
"Lactuca sativa";"Vascular plants";"Albania";2012
"Mirabilis jalapa";"Vascular plants";"Albania";2010
"Morus nigra";"Vascular plants";"Albania";2012
"Panicum dichotomiflorum";"Vascular plants";"Albania";2013
"Parthenocissus quinquefolia";"Vascular plants";"Albania";2011
"Phaseolus vulgaris";"Vascular plants";"Albania";2011
"Phoenix canariensis";"Vascular plants";"Albania";2011
"Salix babylonica";"Vascular plants";"Albania";2010
"Senecio angulatus";"Vascular plants";"Albania";2010
"Sisyrinchium angustifolium";"Vascular plants";"Albania";2013
"Solanum tuberosum";"Vascular plants";"Albania";2012
"Symphoricarpos albus";"Vascular plants";"Albania";2011
"Tagetes erecta";"Vascular plants";"Albania";2011
"Tagetes minuta";"Vascular plants";"Albania";2010
"Triticum aestivum";"Vascular plants";"Albania";2011
"Veronica peregrina";"Vascular plants";"Albania";2010
"Vicia faba";"Vascular plants";"Albania";2013
"Washingtonia robusta";"Vascular plants";"Albania";2011
"Zantedeschia aethiopica";"Vascular plants";"Albania";2013
"Zea mays";"Vascular plants";"Albania";2011
"Equisetum palustre";"Vascular plants";"Andorra";2017
"Sphaerocarpos europaeus";"Algae";"Austria";2015
"Erysiphe corylacearum";"Fungi";"Austria";2020
"Ameles spallanzania";"Insects";"Austria";2020
"Belonochilus numenius";"Insects";"Austria";2011
"Callopistromyia annulipes";"Insects";"Austria";2014
"Ceratitis capitata";"Insects";"Austria";2011
"Corythucha arcuata";"Insects";"Austria";2017
"Cyrtaspis scutata";"Insects";"Austria";2018
"Drosophila suzukii";"Insects";"Austria";2011
"Dryocosmus kuriphilus";"Insects";"Austria";2013
"Eupholidoptera schmidti";"Insects";"Austria";2011
"Gryllus bimaculatus";"Insects";"Austria";2015
"Iris oratoria";"Insects";"Austria";2018
"Luperomorpha xanthodera";"Insects";"Austria";2011
"Phthorimaea absoluta";"Insects";"Austria";2010
"Pteronemobius lineolatus";"Insects";"Austria";2019
"Rhacocleis annulata";"Insects";"Austria";2014
"Stephanitis takeyai";"Insects";"Austria";2011
"Stragania apicalis";"Insects";"Austria";2012
"Achillea clypeolata";"Vascular plants";"Austria";2019
"Agastache rugosa";"Vascular plants";"Austria";2019
"Asplenium ceterach";"Vascular plants";"Austria";2017
"Berberis ottawensis";"Vascular plants";"Austria";2016
"Bistorta amplexicaulis";"Vascular plants";"Austria";2017
"Cicer arietinum";"Vascular plants";"Austria";2019
"Eclipta prostrata";"Vascular plants";"Austria";2018
"Erodium manescavi";"Vascular plants";"Austria";2017
"Euphorbia chamaesyce";"Vascular plants";"Austria";2013
"Flueggea suffruticosa";"Vascular plants";"Austria";2018
"Galanthus woronowii";"Vascular plants";"Austria";2015
"Katapsuxis silaifolia";"Vascular plants";"Austria";2019
"Mahonia decumbens";"Vascular plants";"Austria";2016
"Mahonia wagneri";"Vascular plants";"Austria";2014
"Ornithogalum oligophyllum";"Vascular plants";"Austria";2012
"Phyla nodiflora";"Vascular plants";"Austria";2017
"Psephellus dealbatus";"Vascular plants";"Austria";2020
"Ripariosida hermaphrodita";"Vascular plants";"Austria";2017
"Salix babylonica";"Vascular plants";"Austria";2013
"Salvia yangii";"Vascular plants";"Austria";2017
"Sempervivum arachnoideum";"Vascular plants";"Austria";2016
"Sporobolus indicus";"Vascular plants";"Austria";2015
"Symphytum bulbosum";"Vascular plants";"Austria";2011
"Talinum paniculatum";"Vascular plants";"Austria";2018
"Xanthium albinum";"Vascular plants";"Austria";2015
"Belonochilus numenius";"Insects";"Portugal";2010
"Blechnum occidentale";"Vascular plants";"Portugal";2017
"Leptoglossus occidentalis";"Insects";"Spain";2010
"Obolodiplosis robiniae";"Insects";"Spain";2011
"Dasysiphonia japonica";"Algae";"Belgium";2015
"Ambystoma macrodactylum";"Amphibians";"Belgium";2018
"Bufotes viridis";"Amphibians";"Belgium";2015
"Hyla meridionalis";"Amphibians";"Belgium";2020
"Pleurodeles waltl";"Amphibians";"Belgium";2011
"Rhinella marina";"Amphibians";"Belgium";2010
"Salamandra atra";"Amphibians";"Belgium";2017
"Siren intermedia";"Amphibians";"Belgium";2014
"Triturus marmoratus";"Amphibians";"Belgium";2018
"Ammothea hilgendorfi";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2013
"Callobius nomeus";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2014
"Chaetopelma olivaceum";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2011
"Cheiracanthium furculatum";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2013
"Coleosoma floridanum";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2014
"Cylindroiulus britannicus";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2015
"Erigone dentosa";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2012
"Latrodectus hesperus";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2013
"Olios argelasius";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2011
"Philaeus chrysops";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2014
"Phoneutria boliviensis";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2015
"Triaeris stenaspis";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2018
"Uroctea durandi";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Belgium";2018
"Agapornis personatus";"Birds";"Belgium";2014
"Alectoris chukar";"Birds";"Belgium";2010
"Anas erythrorhyncha";"Birds";"Belgium";2015
"Anas gibberifrons";"Birds";"Belgium";2011
"Anas laysanensis";"Birds";"Belgium";2012
"Anas luzonica";"Birds";"Belgium";2014
"Anas superciliosa";"Birds";"Belgium";2013
"Anthropoides paradiseus";"Birds";"Belgium";2016
"Bucorvus leadbeateri";"Birds";"Belgium";2018
"Colinus virginianus";"Birds";"Belgium";2011
"Crinifer zonurus";"Birds";"Belgium";2017
"Cyanopica cooki";"Birds";"Belgium";2015
"Cyanoramphus novaezelandiae";"Birds";"Belgium";2013
"Dromaius novaehollandiae";"Birds";"Belgium";2018
"Eclectus roratus";"Birds";"Belgium";2010
"Eolophus roseicapilla";"Birds";"Belgium";2016
"Eudocimus ruber";"Birds";"Belgium";2015
"Euodice malabarica";"Birds";"Belgium";2013
"Euplectes macroura";"Birds";"Belgium";2010
"Grus vipio";"Birds";"Belgium";2011
"Haliaeetus leucocephalus";"Birds";"Belgium";2013
"Himantopus mexicanus";"Birds";"Belgium";2019
"Lamprotornis nitens";"Birds";"Belgium";2018
"Lamprotornis splendidus";"Birds";"Belgium";2018
"Lonchura punctulata";"Birds";"Belgium";2016
"Lophodytes cucullatus";"Birds";"Belgium";2011
"Lophura leucomelanos";"Birds";"Belgium";2012
"Malacorhynchus membranaceus";"Birds";"Belgium";2016
"Nandayus nenday";"Birds";"Belgium";2013
