"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Aphis illinoisensis";"Aphis illinoisensis Shimer, 1866";"Aphididae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Aphis Aphis illinoisensis Shimer 1866";"Albania";"";"established";2011;"2011";"DAISIE"
"Obolodiplosis robiniae";"Obolodiplosis robiniae (Haldeman, 1847)";"Cecidomyiidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Obolodiplosis robiniae (Haldeman, 1847)";"Albania";"";"alien";2010;"2010";"Roques et al. (2010); Roques et al. (2016)"
"Acer negundo";"Acer negundo";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Acer negundo";"Albania";"";"established";2013;"2013";"Barina Z et al. (2014)"
"Albizia julibrissin";"Albizia julibrissin";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Albizia julibrissin";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Alcea rosea";"Alcea rosea";"Malvaceae";"Malvales";"Magnoliopsida";"Tracheophyta";"TPL";"Alcea rosea";"Albania";"";"established";2011;"2011";"Barina Z et al. (2014)"
"Aralia spinosa";"Aralia spinosa";"Araliaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Aralia spinosa";"Albania";"";"established";2010;"2010";"Barina Z et al. (2014)"
"Artemisia verlotiorum";"Artemisia verlotiorum";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Artemisia verlotiorum";"Albania";"";"established";2012;"2012";"Barina Z et al. (2014)"
"Azolla filiculoides";"Azolla filiculoides";"Salviniaceae";"Salviniales";"Polypodiopsida";"Tracheophyta";"TPL";"Azolla filiculoides";"Albania";"";"established";2013;"2013";"Barina Z et al. (2014)"
"Bougainvillea glabra";"Bougainvillea glabra";"Nyctaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Bougainvillea glabra";"Albania";"";"casual";2013;"2013";"Barina Z et al. (2014)"
"Broussonetia papyrifera";"Broussonetia papyrifera";"Moraceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Broussonetia papyrifera";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Buddleja davidii";"Buddleja davidii";"Scrophulariaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Buddleja davidii";"Albania";"";"established";2010;"2010";"Barina Z et al. (2014)"
"Calendula officinalis";"Calendula officinalis";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Calendula officinalis";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Campsis radicans";"Campsis radicans";"Bignoniaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Campsis radicans";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Canna indica";"Canna indica";"Cannaceae";"Zingiberales";"Magnoliopsida";"Tracheophyta";"TPL";"Canna indica";"Albania";"";"casual";2013;"2013";"Barina Z et al. (2014)"
"Cannabis sativa";"Cannabis sativa";"Cannabaceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Cannabis sativa";"Albania";"";"established";2013;"2013";"Barina Z et al. (2014)"
"Cardiospermum halicacabum";"Cardiospermum halicacabum";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Cardiospermum halicacabum";"Albania";"";"casual";2013;"2013";"Barina Z et al. (2014)"
"Cedrus deodara";"Cedrus deodara";"Pinaceae";"Pinales";"Pinopsida";"Tracheophyta";"TPL";"Cedrus deodara";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Commelina communis";"Commelina communis";"Commelinaceae";"Commelinales";"Liliopsida";"Tracheophyta";"TPL";"Commelina communis";"Albania";"";"casual";2010;"2010";"Barina Z et al. (2014)"
"Cucurbita pepo";"Cucurbita pepo";"Cucurbitaceae";"Cucurbitales";"Magnoliopsida";"Tracheophyta";"TPL";"Cucurbita pepo";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
