"Region";"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source";"time_lag";"griis_first_observed"
"Albania";"Acer negundo";"Acer negundo";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Acer negundo";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Albizia julibrissin";"Albizia julibrissin";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Albizia julibrissin";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Alcea rosea";"Alcea rosea";"Malvaceae";"Malvales";"Magnoliopsida";"Tracheophyta";"TPL";"Alcea rosea";"";"established";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Aphis illinoisensis";"Aphis illinoisensis Shimer, 1866";"Aphididae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Aphis Aphis illinoisensis Shimer 1866";"";"established";2011;"2011";"DAISIE";NA;NA
"Albania";"Aralia spinosa";"Aralia spinosa";"Araliaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Aralia spinosa";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Artemisia verlotiorum";"Artemisia verlotiorum";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Artemisia verlotiorum";"";"established";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Azolla filiculoides";"Azolla filiculoides";"Salviniaceae";"Salviniales";"Polypodiopsida";"Tracheophyta";"TPL";"Azolla filiculoides";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Bougainvillea glabra";"Bougainvillea glabra";"Nyctaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Bougainvillea glabra";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Broussonetia papyrifera";"Broussonetia papyrifera";"Moraceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Broussonetia papyrifera";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Buddleja davidii";"Buddleja davidii";"Scrophulariaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Buddleja davidii";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Calendula officinalis";"Calendula officinalis";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Calendula officinalis";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Campsis radicans";"Campsis radicans";"Bignoniaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Campsis radicans";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Canna indica";"Canna indica";"Cannaceae";"Zingiberales";"Magnoliopsida";"Tracheophyta";"TPL";"Canna indica";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cannabis sativa";"Cannabis sativa";"Cannabaceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Cannabis sativa";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cardiospermum halicacabum";"Cardiospermum halicacabum";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Cardiospermum halicacabum";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cedrus deodara";"Cedrus deodara";"Pinaceae";"Pinales";"Pinopsida";"Tracheophyta";"TPL";"Cedrus deodara";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Commelina communis";"Commelina communis";"Commelinaceae";"Commelinales";"Liliopsida";"Tracheophyta";"TPL";"Commelina communis";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Corythucha arcuata";"Corythucha arcuata Say";"Tingidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Corythucha arcuata";"";"";2016;"2016";"Cs�ka et al. 2019";NA;NA
"Albania";"Cucurbita pepo";"Cucurbita pepo";"Cucurbitaceae";"Cucurbitales";"Magnoliopsida";"Tracheophyta";"TPL";"Cucurbita pepo";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Cyclospermum leptophyllum";"Cyclospermum leptophyllum";"Apiaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Cyclospermum leptophyllum";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Cynara scolymus";"Cynara scolymus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Cynara scolymus";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cyperus alternifolius";"Cyperus alternifolius";"Cyperaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Cyperus alternifolius";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Eclipta prostrata";"Eclipta prostrata";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Eclipta prostrata";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Erigeron annuus";"Erigeron annuus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Erigeron annuus";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Eucalyptus camaldulensis";"Eucalyptus camaldulensis";"Myrtaceae";"Myrtales";"Magnoliopsida";"Tracheophyta";"TPL";"Eucalyptus camaldulensis";"";"established";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Eucalyptus globulus";"Eucalyptus globulus";"Myrtaceae";"Myrtales";"Magnoliopsida";"Tracheophyta";"TPL";"Eucalyptus globulus";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Euphorbia lathyris";"Euphorbia lathyris";"Euphorbiaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"TPL";"Euphorbia lathyris";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Fallopia aubertii";"Fallopia aubertii";"Polygonaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Fallopia aubertii";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Hedera algeriensis";"Hedera algeriensis";"Araliaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Hedera algeriensis";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Hordeum distichon";"Hordeum distichon";"Poaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Hordeum distichon";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Impatiens balsamina";"Impatiens balsamina";"Balsaminaceae";"Ericales";"Magnoliopsida";"Tracheophyta";"TPL";"Impatiens balsamina";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Lactuca sativa";"Lactuca sativa";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Lactuca sativa";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Lycopersicon esculentum";"Lycopersicon esculentum";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"TPL";"Lycopersicon esculentum";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Mirabilis jalapa";"Mirabilis jalapa";"Nyctaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Mirabilis jalapa";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Morus nigra";"Morus nigra";"Moraceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Morus nigra";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Obolodiplosis robiniae";"Obolodiplosis robiniae (Haldeman, 1847)";"Cecidomyiidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Obolodiplosis robiniae (Haldeman, 1847)";"";"alien";2010;"2010";"Roques et al. (2010); Roques et al. (2016)";NA;NA
"Albania";"Panicum dichotomiflorum";"Panicum dichotomiflorum";"Poaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Panicum dichotomiflorum";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Parthenocissus quinquefolia";"Parthenocissus quinquefolia";"Vitaceae";"Vitales";"Magnoliopsida";"Tracheophyta";"TPL";"Parthenocissus quinquefolia";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Phaseolus vulgaris";"Phaseolus vulgaris";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Phaseolus vulgaris";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Phoenix canariensis";"Phoenix canariensis";"Arecaceae";"Arecales";"Magnoliopsida";"Tracheophyta";"TPL";"Phoenix canariensis";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Phytophthora nicotianae";"Phytophthora nicotianae Henn.";"Peronosporaceae";"Peronosporales";"Peronosporea";"Oomycota";"GBIF";"Phytophthora nicotianae";"";"";2013;"2013";"PHYTO-THREATS; Farr and Rossman 2019";NA;NA
"Albania";"Salix babylonica";"Salix babylonica";"Salicaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"TPL";"Salix babylonica";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Senecio angulatus";"Senecio angulatus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Senecio angulatus";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Sisyrinchium angustifolium";"Sisyrinchium angustifolium";"Iridaceae";"Asparagales";"Liliopsida";"Tracheophyta";"TPL";"Sisyrinchium angustifolium";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Solanum tuberosum";"Solanum tuberosum";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"TPL";"Solanum tuberosum";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Symphoricarpos albus";"Symphoricarpos albus";"Caprifoliaceae";"Dipsacales";"Magnoliopsida";"Tracheophyta";"TPL";"Symphoricarpos albus";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
