species;eu_status;google;scopus;EASIN_Id;Status;TER;FRW;MAR;EST;habitat;worst_100_world_ISSG;worst_100_Europe_DAISIE;mentioned_in_EU_quarantine_species;partly_native
Abies grandis;NO;2708;5513;R00011;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Abies homolepis;NO;1654;150;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Abies nordmanniana;NO;3303;1053;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Abies veitchii;NO;1928;523;R00017;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Abudefduf sexfasciatus;NO;0;72;R19652;A;0;0;1;0;Marine;NO;NO;NO;NO
Abutilon grandifolium;NO;1695;8;R00030;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acacia baileyana;NO;6078;160;R00035;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acacia salicina;NO;1901;659;R00052;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acanalonia conica;NO;882;20;R00068;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acanthurus chirurgus;NO;1163;60;R19333;A;0;0;1;0;Marine;NO;NO;NO;NO
Acanthurus coeruleus;NO;2646;158;R19118;A;0;0;1;0;Marine;NO;NO;NO;NO
Acanthurus monroviae;NO;0;124;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Acanthurus sohal;NO;2361;208;R19653;A;0;0;1;0;Marine;NO;NO;NO;NO
Acanthus spinosus;NO;4827;57;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Accipiter gentilis;NO;4234;2448;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Acer cissifolium;NO;818;16;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acer japonicum;NO;6744;439;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acer monspessulanum;NO;3240;82;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Acer negundo;NO;6715;1984;R00116;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acer palmatum;NO;7665;545;R00118;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acer pseudosieboldianum;NO;2306;33;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acer saccharinum;NO;6314;1256;R00122;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acer tataricum;NO;5169;213;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Aceria kuko;NO;0;11;R17666;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acetabularia caliculus;NO;0;12;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Achelia sawayai;NO;0;3;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Achillea clypeolata;NO;1237;100;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Achyrolimonia neonebulosa;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Acipenser baerii;NO;2729;2601;NA;NA;0;1;1;0;Marine_Freshwater_Esturary;NO;NO;NO;NO
Acipenser stellatus;NO;2281;1680;NA;NA;0;1;1;0;Marine_Freshwater_Esturary;NO;NO;NO;YES
Acizzia jamatonica;NO;0;58;R00186;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acokanthera oblongifolia;NO;479;35;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acontia candefacta;NO;0;6;R16899;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acridotheres ginginianus;NO;0;41;R19748;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Acrosternum heegeri;NO;0;20;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Actaeodes tomentosus;NO;645;22;R19108;A;0;0;1;0;Marine;NO;NO;NO;NO
Actinidia chinensis;NO;4868;6881;R00243;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Adiantum aleuticum;NO;2415;9;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Adiantum capillus-veneris;NO;3575;1993;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Adistemia watsoni;NO;0;3;R00281;C;1;0;0;0;Terrestrial;NO;NO;NO;NO
