"","species","Region","LifeForm","off_FirstRec","count","firstRec","phylum","class","timeLag","eu_status","google","scopus","EASIN_Id.x","Status.x","TER.x","FRW.x","MAR.x","EST.x","habitat","worst_100_world_ISSG","worst_100_Europe_DAISIE","mentioned_in_EU_quarantine_species","partly_native","obsEffort_LF","ResearchEffort","nOccTotSp","obsInNeigborCountryBefore","google_country_porc","google_country_tot","EASIN_Id.y","Status.y","TER.y","FRW.y","MAR.y","EST.y","Kingdom","Phylum","Class","Order","Family"
"1","Abies grandis","Belgium","Vascular plants",2019,67,2003,"Tracheophyta","Pinopsida",-16,"NO",2708,5513,"R00011","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,829,TRUE,0,0,"R00011","A","1","0","0","0","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae"
"2","Abies homolepis","Belgium","Vascular plants",2016,2,2019,"Tracheophyta","Pinopsida",3,"NO",1654,150,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,63,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abies nordmanniana","Belgium","Vascular plants",2016,16,2009,"Tracheophyta","Pinopsida",-7,"NO",3303,1053,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,516,TRUE,53,1750.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abies veitchii","Norway","Vascular plants",2012,4,2017,"Tracheophyta","Pinopsida",5,"NO",1928,523,"R00017","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1755502,76,56,TRUE,0,0,"R00017","A","1","0","0","0","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae"
"5","Acacia baileyana","France","Vascular plants",2011,1,2021,"Tracheophyta","Magnoliopsida",10,"NO",6078,160,"R00035","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",3156527,142,3,FALSE,3,182.34,"R00035","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae"
"6","Acanthus spinosus","Belgium","Vascular plants",2016,7,2015,"Tracheophyta","Magnoliopsida",-1,"NO",4827,57,NA,NA,0,0,1,0,"Marine","NO","NO","NO","YES",1132699,480,289,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acer cissifolium","Belgium","Vascular plants",2014,6,2014,"Tracheophyta","Magnoliopsida",0,"NO",818,16,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,7,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acer japonicum","Belgium","Vascular plants",2010,4,2012,"Tracheophyta","Magnoliopsida",2,"NO",6744,439,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,18,FALSE,100,6744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acer monspessulanum","Belgium","Vascular plants",2015,7,2015,"Tracheophyta","Magnoliopsida",0,"NO",3240,82,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,4723,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Acer negundo","Albania","Vascular plants",2013,30,2015,"Tracheophyta","Magnoliopsida",2,"NO",6715,1984,"R00116","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",2476,54,36917,TRUE,0,0,"R00116","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Aceraceae"
"11","Acer palmatum","Norway","Vascular plants",2015,3,2020,"Tracheophyta","Magnoliopsida",5,"NO",7665,545,"R00118","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1755502,76,224,TRUE,27,2069.55,"R00118","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Aceraceae"
"12","Acer palmatum","Belgium","Vascular plants",2013,30,2014,"Tracheophyta","Magnoliopsida",1,"NO",7665,545,"R00118","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,224,TRUE,100,7665,"R00118","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Aceraceae"
"13","Acer saccharinum","Belgium","Vascular plants",2012,890,2006,"Tracheophyta","Magnoliopsida",-6,"NO",6314,1256,"R00122","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,5409,TRUE,0,0,"R00122","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Aceraceae"
"14","Acer tataricum","Belgium","Vascular plants",2012,2,2018,"Tracheophyta","Magnoliopsida",6,"NO",5169,213,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,1493,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Acizzia solanicola","New Zealand","Insects",2012,9,2012,"Arthropoda","Insecta",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Acontia candefacta","Croatia","Insects",2019,3,2021,"Arthropoda","Insecta",2,"NO",0,6,"R16899","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",13442,19,41,TRUE,0,0,"R16899","A","1","0","0","0","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae"
"17","Acrosternum heegeri","Hungary","Insects",2015,4,2020,"Arthropoda","Insecta",5,"NO",0,20,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",15818,18,719,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Acrosternum heegeri","Serbia","Insects",2013,9,2019,"Arthropoda","Insecta",6,"NO",0,20,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",11129,54,719,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Actinidia chinensis","France","Vascular plants",2012,5,2018,"Tracheophyta","Magnoliopsida",6,"NO",4868,6881,"R00243","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",3156527,142,226,TRUE,54,2628.72,"R00243","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","theales","Actinidiaceae"
"20","Adiantum aleuticum","Belgium","Vascular plants",2016,16,2016,"Tracheophyta","Polypodiopsida",0,"NO",2415,9,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,16,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Aedes japonicus","Slovenia","Insects",2010,5,2014,"Arthropoda","Insecta",4,"NO",479,1920,"R16907","A",1,1,0,0,"Freshwater_Terrestrial","NO","NO","NO","NO",20810,45,NA,FALSE,0,0,"R16907","A","1","1","0","0","Animalia","Arthropoda","Insecta","Diptera","Culicidae"
"22","Aedes japonicus","Croatia","Insects",2013,3,2020,"Arthropoda","Insecta",7,"NO",479,1920,"R16907","A",1,1,0,0,"Freshwater_Terrestrial","NO","NO","NO","NO",13442,19,NA,TRUE,0,0,"R16907","A","1","1","0","0","Animalia","Arthropoda","Insecta","Diptera","Culicidae"
"23","Aesculus parviflora","Belgium","Vascular plants",2013,11,2017,"Tracheophyta","Magnoliopsida",4,"NO",4758,110,"R00343","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,155,TRUE,100,4758,"R00343","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Hippocastanaceae"
"24","Aesculus pavia","Belgium","Vascular plants",2011,3,2016,"Tracheophyta","Magnoliopsida",5,"NO",4439,253,"R00344","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,17,FALSE,0,0,"R00344","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Hippocastanaceae"
"25","Agapanthus praecox","France","Vascular plants",2014,22,2009,"Tracheophyta","Liliopsida",-5,"NO",3790,432,"R00363","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",3156527,142,369,TRUE,23,871.7,"R00363","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae"
"26","Agapornis personatus","Belgium","Birds",2014,4,2016,"Chordata","Aves",2,"NO",3623,4,"R00367","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",788948,480,NA,TRUE,0,0,"R00367","A","1","0","0","0","Animalia","Chordata","Aves","Psittaciformes","Psittacidae"
"27","Akebia quinata","Belgium","Vascular plants",2015,9,2009,"Tracheophyta","Magnoliopsida",-6,"NO",7036,697,"R00476","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,190,TRUE,95,6684.2,"R00476","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Lardizabalaceae"
"28","Alcea rosea","Albania","Vascular plants",2011,14,2017,"Tracheophyta","Magnoliopsida",6,"NO",5187,358,"R00486","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",2476,54,NA,TRUE,0,0,"R00486","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae"
"29","Alcea rugosa","Belgium","Vascular plants",2010,4,2010,"Tracheophyta","Magnoliopsida",0,"NO",1563,15,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,666,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Alectoris chukar","Belgium","Birds",2010,5,2010,"Chordata","Aves",0,"NO",1981,1060,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",788948,480,2464,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Allium cepa","Belgium","Vascular plants",2011,30,2006,"Tracheophyta","Liliopsida",-5,"NO",12901,37724,"R00565","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,595,TRUE,18,2322.18,"R00565","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae"
"32","Allium hollandicum","Belgium","Vascular plants",2012,28,2012,"Tracheophyta","Liliopsida",0,"NO",2159,3,"R00571","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,670,TRUE,0,0,"R00571","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae"
"33","Allium karataviense","Belgium","Vascular plants",2018,2,2019,"Tracheophyta","Liliopsida",1,"NO",2740,57,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,4,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Allium lusitanicum","Belgium","Vascular plants",2014,8,2018,"Tracheophyta","Liliopsida",4,"NO",546,41,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,362,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Allium macleanii","Belgium","Vascular plants",2014,6,2014,"Tracheophyta","Liliopsida",0,"NO",0,43,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,32,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Allium nigrum","Belgium","Vascular plants",2013,3,2013,"Tracheophyta","Liliopsida",0,"NO",3731,2403,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,91,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Allium pendulinum","Belgium","Vascular plants",2014,10,2014,"Tracheophyta","Liliopsida",0,"NO",544,9,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,93,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Allium ramosum","Belgium","Vascular plants",2010,10,2018,"Tracheophyta","Liliopsida",8,"NO",1156,70,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,48,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Allium roseum","Belgium","Vascular plants",2017,14,2017,"Tracheophyta","Liliopsida",0,"NO",4633,547,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,2530,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Allium triquetrum","Belgium","Vascular plants",2013,25,2013,"Tracheophyta","Liliopsida",0,"NO",2744,135,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,8522,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Alonsoa linearis","Belgium","Vascular plants",2017,1,2017,"Tracheophyta","Magnoliopsida",0,"NO",0,1,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,1,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
