checklist_scientificName;english_name;entry_into_force;checklist_kingdom;backbone_taxonKey;backbone_taxonomicStatus
Alternanthera philoxeroides;Alligator weed;02/08/2017;Plantae;3084923;ACCEPTED
Asclepias syriaca;Common milkweed;02/08/2017;Plantae;3170247;ACCEPTED
Baccharis halimifolia;Eastern baccharis;03/08/2016;Plantae;3129663;ACCEPTED
Cabomba caroliniana;Fanwort;03/08/2016;Plantae;2882443;ACCEPTED
Eichhornia crassipes;Water hyacinth;03/08/2016;Plantae;2765940;ACCEPTED
Elodea nuttallii;Nuttall's waterweed;02/08/2017;Plantae;5329212;ACCEPTED
Gunnera tinctoria;Chilean rhubarb;02/08/2017;Plantae;2984306;ACCEPTED
Heracleum mantegazzianum;Giant hogweed;02/08/2017;Plantae;3034825;ACCEPTED
Heracleum persicum;Persian hogweed;03/08/2016;Plantae;3628745;ACCEPTED
Heracleum sosnowskyi;Sosnowsky's hogweed;03/08/2016;Plantae;3642949;ACCEPTED
Hydrocotyle ranunculoides;Floating pennywort;03/08/2016;Plantae;7978544;ACCEPTED
Impatiens glandulifera;Indian balsam;02/08/2017;Plantae;2891770;ACCEPTED
Lagarosiphon major;Curly waterweed;03/08/2016;Plantae;2865565;ACCEPTED
Ludwigia grandiflora;Water-primrose;03/08/2016;Plantae;5421039;ACCEPTED
Ludwigia peploides;Floating primrose-willow;03/08/2016;Plantae;5420991;ACCEPTED
Lysichiton americanus;American skunk cabbage;03/08/2016;Plantae;2869311;ACCEPTED
Microstegium vimineum;Japanese stiltgrass;02/08/2017;Plantae;5289808;ACCEPTED
Myriophyllum aquaticum;Parrot's feather;03/08/2016;Plantae;5361785;ACCEPTED
Myriophyllum heterophyllum;Broadleaf watermilfoil;02/08/2017;Plantae;5361762;ACCEPTED
Parthenium hysterophorus;Whitetop weed;03/08/2016;Plantae;3086784;ACCEPTED
Pennisetum setaceum;Crimson fountaingrass;02/08/2017;Plantae;2706134;SYNONYM
Persicaria perfoliata;Asiatic tearthumb;03/08/2016;Plantae;4033648;ACCEPTED
Pueraria lobata;Kudzu vine;03/08/2016;Plantae;9035634;ACCEPTED
Alopochen aegyptiacus;Egyptian goose;02/08/2017;Animalia;2498252;ACCEPTED
Callosciurus erythraeus;Pallas' squirrel;03/08/2016;Animalia;2437394;ACCEPTED
Corvus splendens;Indian house crow;03/08/2016;Animalia;2482499;ACCEPTED
Eriocheir sinensis;Chinese mittencrab;03/08/2016;Animalia;2225776;ACCEPTED
Herpestes javanicus;Small Asian mongoose;03/08/2016;Animalia;8858565;ACCEPTED
Lithobates catesbeianus;American bullfrog;03/08/2016;Animalia;2427091;ACCEPTED
Muntiacus reevesi;Muntjac deer;03/08/2016;Animalia;2440946;ACCEPTED
Myocastor coypus;Coypu;03/08/2016;Animalia;4264680;ACCEPTED
Nasua nasua;Coati;03/08/2016;Animalia;2433536;ACCEPTED
Nyctereutes procyonoides;Racoon dog;02/02/2019;Animalia;2434552;ACCEPTED
Ondatra zibethicus;Muskrat;02/08/2017;Animalia;5219858;ACCEPTED
Orconectes limosus;Spiny-cheek crayfish;03/08/2016;Animalia;2227000;ACCEPTED
Orconectes virilis;Virile crayfish;03/08/2016;Animalia;2227064;ACCEPTED
Oxyura jamaicensis ;Ruddy duck;03/08/2016;Animalia;2498305;ACCEPTED
Pacifastacus leniusculus;Signal crayfish;03/08/2016;Animalia;2226990;ACCEPTED
Percottus glenii;Amur sleeper;03/08/2016;Animalia;2390064;ACCEPTED
Procambarus clarkii;Red swamp crayfish;03/08/2016;Animalia;2227300;ACCEPTED
Procambarus fallax f. virginalis;Marbled crayfish;03/08/2016;Animalia;8879526;SYNONYM
Procyon lotor;Raccoon;03/08/2016;Animalia;5218786;ACCEPTED
Pseudorasbora parva;Stone moroko;03/08/2016;Animalia;2362868;ACCEPTED
Sciurus carolinensis;Grey squirrel;03/08/2016;Animalia;5219681;ACCEPTED
Sciurus niger;Fox squirrel;03/08/2016;Animalia;5219683;ACCEPTED
Tamias sibiricus;Siberian chipmunk;03/08/2016;Animalia;2437450;ACCEPTED
Threskiornis aethiopicus;Sacred ibis;03/08/2016;Animalia;2480764;ACCEPTED
Trachemys scripta;Red-eared, yellow-bellied and Cumberland sliders;03/08/2016;Animalia;2443002;ACCEPTED
Vespa velutina nigrithorax;Asian hornet;03/08/2016;Animalia;6247411;ACCEPTED
Humulus scandens;Japanese hop;15/08/2019;Plantae;2984537;SYNONYM
Acridotheres tristis;Common myna;15/08/2019;Animalia;2489005;ACCEPTED
Ailanthus altissima;Tree of heaven;15/08/2019;Plantae;3190653;ACCEPTED
Andropogon virginicus;Broomsedge bluestem;15/08/2019;Plantae;2706080;ACCEPTED
