"","species","LifeForm","google_sum","google_mean"
"1","Abies grandis","Vascular plants",405,2.8125
"2","Abies homolepis","Vascular plants",97,0.673611111111111
"3","Abies nordmanniana","Vascular plants",1071,7.4375
"4","Abies veitchii","Vascular plants",124,0.861111111111111
"5","Acacia baileyana","Vascular plants",899,6.24305555555556
"6","Acanthus spinosus","Vascular plants",473,3.28472222222222
"7","Acer cissifolium","Vascular plants",100,0.694444444444444
"8","Acer japonicum","Vascular plants",1467,10.1875
"9","Acer monspessulanum","Vascular plants",397,2.75694444444444
"10","Acer negundo","Vascular plants",3112,21.6111111111111
"11","Acer palmatum","Vascular plants",4936,34.2777777777778
"13","Acer saccharinum","Vascular plants",1077,7.47916666666667
"14","Acer tataricum","Vascular plants",444,3.08333333333333
"15","Acizzia solanicola","Insects",0,0
"16","Acontia candefacta","Insects",0,0
"17","Acrosternum heegeri","Insects",0,0
"19","Actinidia chinensis","Vascular plants",637,4.42361111111111
"20","Adiantum aleuticum","Vascular plants",111,0.770833333333333
"21","Aedes japonicus","Insects",167,1.15972222222222
"23","Aesculus parviflora","Vascular plants",387,2.6875
"24","Aesculus pavia","Vascular plants",373,2.59027777777778
"25","Agapanthus praecox","Vascular plants",434,3.01388888888889
"26","Agapornis personatus","Birds",218,1.51388888888889
"27","Akebia quinata","Vascular plants",2117,14.7013888888889
"28","Alcea rosea","Vascular plants",1665,11.5625
"29","Alcea rugosa","Vascular plants",107,0.743055555555556
"30","Alectoris chukar","Birds",146,1.01388888888889
"31","Allium cepa","Vascular plants",10133,70.3680555555556
"32","Allium hollandicum","Vascular plants",158,1.09722222222222
"33","Allium karataviense","Vascular plants",175,1.21527777777778
"34","Allium lusitanicum","Vascular plants",70,0.486111111111111
"35","Allium macleanii","Vascular plants",0,0
"36","Allium nigrum","Vascular plants",335,2.32638888888889
"37","Allium pendulinum","Vascular plants",32,0.222222222222222
"38","Allium ramosum","Vascular plants",80,0.555555555555556
"39","Allium roseum","Vascular plants",309,2.14583333333333
"40","Allium triquetrum","Vascular plants",308,2.13888888888889
"41","Alonsoa linearis","Vascular plants",0,0
"42","Amaranthus blitum","Vascular plants",205,1.42361111111111
"43","Amaranthus palmeri","Vascular plants",316,2.19444444444444
"44","Amathia verticillata","Bryozoa",0,0
"45","Ammannia coccinea","Vascular plants",45,0.3125
"46","Ammothea hilgendorfi","Arthropods p.p. (Myriapods, Diplopods etc.)",32,0.222222222222222
"47","Anaphalis triplinervis","Vascular plants",312,2.16666666666667
"48","Anas bahamensis","Birds",93,0.645833333333333
"49","Anas erythrorhyncha","Birds",0,0
"50","Anas hottentota","Birds",0,0
"51","Anas luzonica","Birds",50,0.347222222222222
"52","Anas puna","Birds",0,0
"53","Anas superciliosa","Birds",0,0
"54","Anisocampium niponicum","Vascular plants",0,0
"55","Anoplophora glabripennis","Insects",210,1.45833333333333
"57","Apalone ferox","Reptiles",212,1.47222222222222
"58","Aphis illinoisensis","Insects",0,0
"59","Aproceros leucopoda","Insects",54,0.375
"62","Aquilegia dumeticola","Vascular plants",0,0
"63","Arabis procurrens","Vascular plants",114,0.791666666666667
"64","Aridelus rufotestaceus","Insects",0,0
"65","Armeria maritima","Vascular plants",1452,10.0833333333333
"66","Aromia bungii","Insects",104,0.722222222222222
"67","Artemisia princeps","Vascular plants",197,1.36805555555556
"68","Artemisia sieversiana","Vascular plants",0,0
"69","Artemisia verlotiorum","Vascular plants",134,0.930555555555556
"70","Arundo donax","Vascular plants",2273,15.7847222222222
"71","Asplenium ceterach","Vascular plants",132,0.916666666666667
"72","Aster ageratoides","Vascular plants",218,1.51388888888889
"73","Aureoboletus projectellus","Fungi",25,0.173611111111111
"74","Austrocylindropuntia cylindrica","Vascular plants",0,0
"75","Austrocylindropuntia subulata","Vascular plants",490,3.40277777777778
"76","Austropsocus viridis","Insects",0,0
"77","Ballota nigra","Vascular plants",269,1.86805555555556
"78","Bauhinia variegata","Vascular plants",1025,7.11805555555556
"79","Bellardia trixago","Vascular plants",91,0.631944444444444
"80","Belonochilus numenius","Insects",28,0.194444444444444
"84","Berberis julianae","Vascular plants",436,3.02777777777778
"86","Berberis ottawensis","Vascular plants",158,1.09722222222222
"87","Berberis thunbergii","Vascular plants",2811,19.5208333333333
"88","Bergenia crassifolia","Vascular plants",249,1.72916666666667
"89","Betonica macrantha","Vascular plants",19,0.131944444444444
"90","Betula papyrifera","Vascular plants",506,3.51388888888889
"91","Bistorta affinis","Vascular plants",126,0.875
"92","Blackfordia virginica","Invertebrates (excl. Arthropods, Molluscs)",32,0.222222222222222
"93","Blaste lignicola","Insects",0,0
"94","Blitum virgatum","Vascular plants",0,0
"95","Bolboschoenus glaucus","Vascular plants",10,0.0694444444444444
"96","Bolboschoenus yagara","Vascular plants",0,0
"97","Bombus pascuorum","Insects",157,1.09027777777778
"98","Bougainvillea glabra","Vascular plants",1630,11.3194444444444
"99","Brachidontes exustus","Molluscs",0,0
"100","Brachychiton populneus","Vascular plants",607,4.21527777777778
"101","Brassica barrelieri","Vascular plants",29,0.201388888888889
"102","Brassica carinata","Vascular plants",297,2.0625
"103","Bromus carinatus","Vascular plants",105,0.729166666666667
"104","Bromus japonicus","Vascular plants",57,0.395833333333333
"105","Broussonetia papyrifera","Vascular plants",432,3
"106","Brugmansia arborea","Vascular plants",383,2.65972222222222
"107","Bucorvus leadbeateri","Birds",97,0.673611111111111
"108","Buddleja alternifolia","Vascular plants",448,3.11111111111111
"109","Calendula officinalis","Vascular plants",3977,27.6180555555556
"110","Callicarpa bodinieri","Vascular plants",861,5.97916666666667
"111","Callistemon rigidus","Vascular plants",238,1.65277777777778
"112","Callistemon viminalis","Vascular plants",763,5.29861111111111
"113","Callopistromyia annulipes","Insects",25,0.173611111111111
"121","Camassia leichtlinii","Vascular plants",461,3.20138888888889
"122","Campsis radicans","Vascular plants",1905,13.2291666666667
"123","Cancer pagurus","Crustaceans",287,1.99305555555556
"124","Canna generalis","Vascular plants",255,1.77083333333333
"125","Carcelia iliaca","Insects",0,0
"126","Carex grayi","Vascular plants",215,1.49305555555556
"128","Carex loliacea","Vascular plants",0,0
"129","Carex muricata","Vascular plants",80,0.555555555555556
"130","Carex muskingumensis","Vascular plants",254,1.76388888888889
"131","Carex pendula","Vascular plants",611,4.24305555555556
"132","Carex scoparia","Vascular plants",92,0.638888888888889
"133","Carex vulpinoidea","Vascular plants",117,0.8125
"134","Carica papaya","Vascular plants",3767,26.1597222222222
"135","Carpobrotus chilensis","Vascular plants",121,0.840277777777778
"136","Caryopteris incana","Vascular plants",142,0.986111111111111
"137","Cascabela thevetia","Vascular plants",261,1.8125
"138","Casuarinicola australis","Insects",0,0
"139","Caulacanthus okamurae","Algae",0,0
"140","Centaurea benedicta","Vascular plants",0,0
"141","Ceratitis capitata","Insects",1131,7.85416666666667
"142","Cercidiphyllum japonicum","Vascular plants",1423,9.88194444444444
"143","Ceroplastes japonicus","Insects",0,0
"144","Chaetodipterus faber","Fishes",0,0
"145","Chama congregata","Molluscs",0,0
"146","Cheiloneurus flaccus","Insects",0,0
"147","Chelone obliqua","Vascular plants",353,2.45138888888889
"148","Chlorophorus varius","Insects",55,0.381944444444444
"149","Chlorophytum comosum","Vascular plants",2259,15.6875
"150","Chrysanthemum indicum","Vascular plants",690,4.79166666666667
"151","Chymomyza amoena","Insects",0,0
"152","Cichorium calvum","Vascular plants",0,0
"153","Clarkia amoena","Vascular plants",176,1.22222222222222
"154","Claytonia perfoliata","Vascular plants",206,1.43055555555556
"155","Claytonia rubra","Vascular plants",16,0.111111111111111
"156","Claytonia sibirica","Vascular plants",118,0.819444444444444
"157","Clematis montana","Vascular plants",3030,21.0416666666667
"158","Clematostigma maculiceps","Insects",0,0
"159","Clerodendrum bungei","Vascular plants",303,2.10416666666667
"160","Colinus virginianus","Birds",145,1.00694444444444
"161","Commelina communis","Vascular plants",259,1.79861111111111
"162","Conringia planisiliqua","Vascular plants",0,0
"163","Contarinia pseudotsugae","Insects",0,0
"164","Cornus sanguinea","Vascular plants",1985,13.7847222222222
"165","Corvus albus","Birds",196,1.36111111111111
