"","species","LifeForm","google_sum","google_mean"
"1","Abies grandis","Vascular plants",405,2.8125
"2","Abies homolepis","Vascular plants",97,0.673611111111111
"3","Abies nordmanniana","Vascular plants",1071,7.4375
"4","Abies veitchii","Vascular plants",124,0.861111111111111
"5","Acacia baileyana","Vascular plants",899,6.24305555555556
"6","Acanthus spinosus","Vascular plants",473,3.28472222222222
"7","Acer cissifolium","Vascular plants",100,0.694444444444444
"8","Acer japonicum","Vascular plants",1467,10.1875
"9","Acer monspessulanum","Vascular plants",397,2.75694444444444
"10","Acer negundo","Vascular plants",3112,21.6111111111111
"11","Acer palmatum","Vascular plants",4936,34.2777777777778
"12","Acer saccharinum","Vascular plants",1077,7.47916666666667
"13","Acer tataricum","Vascular plants",444,3.08333333333333
"14","Acizzia solanicola","Insects",0,0
"15","Acontia candefacta","Insects",0,0
"16","Acrosternum heegeri","Insects",0,0
"17","Actinidia chinensis","Vascular plants",637,4.42361111111111
"18","Adiantum aleuticum","Vascular plants",111,0.770833333333333
"19","Aedes japonicus","Insects",167,1.15972222222222
"20","Aesculus parviflora","Vascular plants",387,2.6875
"21","Aesculus pavia","Vascular plants",373,2.59027777777778
"22","Agapanthus praecox","Vascular plants",434,3.01388888888889
"23","Agapornis personatus","Birds",218,1.51388888888889
"24","Akebia quinata","Vascular plants",2117,14.7013888888889
"25","Alcea rosea","Vascular plants",1665,11.5625
"26","Alcea rugosa","Vascular plants",107,0.743055555555556
"27","Alectoris chukar","Birds",146,1.01388888888889
"28","Allium cepa","Vascular plants",10133,70.3680555555556
"29","Allium hollandicum","Vascular plants",158,1.09722222222222
"30","Allium karataviense","Vascular plants",175,1.21527777777778
"31","Allium lusitanicum","Vascular plants",70,0.486111111111111
"32","Allium macleanii","Vascular plants",0,0
"33","Allium nigrum","Vascular plants",335,2.32638888888889
"34","Allium pendulinum","Vascular plants",32,0.222222222222222
"35","Allium ramosum","Vascular plants",80,0.555555555555556
"36","Allium roseum","Vascular plants",309,2.14583333333333
"37","Allium triquetrum","Vascular plants",308,2.13888888888889
"38","Alonsoa linearis","Vascular plants",0,0
"39","Amaranthus blitum","Vascular plants",205,1.42361111111111
"40","Amaranthus palmeri","Vascular plants",316,2.19444444444444
"41","Amathia verticillata","Bryozoa",0,0
"42","Ammannia coccinea","Vascular plants",45,0.3125
"43","Ammothea hilgendorfi","Arthropods p.p. (Myriapods, Diplopods etc.)",32,0.222222222222222
"44","Anaphalis triplinervis","Vascular plants",312,2.16666666666667
"45","Anas bahamensis","Birds",93,0.645833333333333
"46","Anas erythrorhyncha","Birds",0,0
"47","Anas hottentota","Birds",0,0
"48","Anas luzonica","Birds",50,0.347222222222222
"49","Anas puna","Birds",0,0
"50","Anas superciliosa","Birds",0,0
"51","Anisocampium niponicum","Vascular plants",0,0
"52","Anoplophora glabripennis","Insects",210,1.45833333333333
"53","Apalone ferox","Reptiles",212,1.47222222222222
"54","Aphis illinoisensis","Insects",0,0
"55","Aproceros leucopoda","Insects",54,0.375
"56","Aquilegia dumeticola","Vascular plants",0,0
"57","Arabis procurrens","Vascular plants",114,0.791666666666667
"58","Aridelus rufotestaceus","Insects",0,0
"59","Armeria maritima","Vascular plants",1452,10.0833333333333
"60","Aromia bungii","Insects",104,0.722222222222222
"61","Artemisia princeps","Vascular plants",197,1.36805555555556
"62","Artemisia sieversiana","Vascular plants",0,0
"63","Artemisia verlotiorum","Vascular plants",134,0.930555555555556
"64","Arundo donax","Vascular plants",2273,15.7847222222222
"65","Asplenium ceterach","Vascular plants",132,0.916666666666667
"66","Aster ageratoides","Vascular plants",218,1.51388888888889
"67","Aureoboletus projectellus","Fungi",25,0.173611111111111
"68","Austrocylindropuntia cylindrica","Vascular plants",0,0
"69","Austrocylindropuntia subulata","Vascular plants",490,3.40277777777778
"70","Austropsocus viridis","Insects",0,0
"71","Ballota nigra","Vascular plants",269,1.86805555555556
"72","Bauhinia variegata","Vascular plants",1025,7.11805555555556
"73","Bellardia trixago","Vascular plants",91,0.631944444444444
"74","Belonochilus numenius","Insects",28,0.194444444444444
"75","Berberis julianae","Vascular plants",436,3.02777777777778
"76","Berberis ottawensis","Vascular plants",158,1.09722222222222
"77","Berberis thunbergii","Vascular plants",2811,19.5208333333333
"78","Bergenia crassifolia","Vascular plants",249,1.72916666666667
"79","Betonica macrantha","Vascular plants",19,0.131944444444444
"80","Betula papyrifera","Vascular plants",506,3.51388888888889
"81","Bistorta affinis","Vascular plants",126,0.875
"82","Blackfordia virginica","Invertebrates (excl. Arthropods, Molluscs)",32,0.222222222222222
"83","Blaste lignicola","Insects",0,0
"84","Blitum virgatum","Vascular plants",0,0
"85","Bolboschoenus glaucus","Vascular plants",10,0.0694444444444444
"86","Bolboschoenus yagara","Vascular plants",0,0
"87","Bombus pascuorum","Insects",157,1.09027777777778
"88","Bougainvillea glabra","Vascular plants",1630,11.3194444444444
"89","Brachidontes exustus","Molluscs",0,0
"90","Brachychiton populneus","Vascular plants",607,4.21527777777778
"91","Brassica barrelieri","Vascular plants",29,0.201388888888889
"92","Brassica carinata","Vascular plants",297,2.0625
"93","Bromus carinatus","Vascular plants",105,0.729166666666667
"94","Bromus japonicus","Vascular plants",57,0.395833333333333
"95","Broussonetia papyrifera","Vascular plants",432,3
"96","Brugmansia arborea","Vascular plants",383,2.65972222222222
"97","Bucorvus leadbeateri","Birds",97,0.673611111111111
"98","Buddleja alternifolia","Vascular plants",448,3.11111111111111
"99","Calendula officinalis","Vascular plants",3977,27.6180555555556
"100","Callicarpa bodinieri","Vascular plants",861,5.97916666666667
"101","Callistemon rigidus","Vascular plants",238,1.65277777777778
"102","Callistemon viminalis","Vascular plants",763,5.29861111111111
"103","Callopistromyia annulipes","Insects",25,0.173611111111111
"104","Camassia leichtlinii","Vascular plants",461,3.20138888888889
"105","Campsis radicans","Vascular plants",1905,13.2291666666667
"106","Cancer pagurus","Crustaceans",287,1.99305555555556
"107","Canna generalis","Vascular plants",255,1.77083333333333
"108","Carcelia iliaca","Insects",0,0
"109","Carex grayi","Vascular plants",215,1.49305555555556
"110","Carex loliacea","Vascular plants",0,0
"111","Carex muricata","Vascular plants",80,0.555555555555556
"112","Carex muskingumensis","Vascular plants",254,1.76388888888889
"113","Carex pendula","Vascular plants",611,4.24305555555556
"114","Carex scoparia","Vascular plants",92,0.638888888888889
"115","Carex vulpinoidea","Vascular plants",117,0.8125
"116","Carica papaya","Vascular plants",3767,26.1597222222222
"117","Carpobrotus chilensis","Vascular plants",121,0.840277777777778
"118","Caryopteris incana","Vascular plants",142,0.986111111111111
"119","Cascabela thevetia","Vascular plants",261,1.8125
"120","Casuarinicola australis","Insects",0,0
"121","Caulacanthus okamurae","Algae",0,0
"122","Centaurea benedicta","Vascular plants",0,0
"123","Ceratitis capitata","Insects",1131,7.85416666666667
"124","Cercidiphyllum japonicum","Vascular plants",1423,9.88194444444444
"125","Ceroplastes japonicus","Insects",0,0
"126","Chaetodipterus faber","Fishes",0,0
"127","Chama congregata","Molluscs",0,0
"128","Cheiloneurus flaccus","Insects",0,0
"129","Chelone obliqua","Vascular plants",353,2.45138888888889
"130","Chlorophorus varius","Insects",55,0.381944444444444
"131","Chlorophytum comosum","Vascular plants",2259,15.6875
"132","Chrysanthemum indicum","Vascular plants",690,4.79166666666667
"133","Chymomyza amoena","Insects",0,0
"134","Cichorium calvum","Vascular plants",0,0
"135","Clarkia amoena","Vascular plants",176,1.22222222222222
"136","Claytonia perfoliata","Vascular plants",206,1.43055555555556
"137","Claytonia rubra","Vascular plants",16,0.111111111111111
"138","Claytonia sibirica","Vascular plants",118,0.819444444444444
"139","Clematis montana","Vascular plants",3030,21.0416666666667
"140","Clematostigma maculiceps","Insects",0,0
"141","Clerodendrum bungei","Vascular plants",303,2.10416666666667
"142","Colinus virginianus","Birds",145,1.00694444444444
"143","Commelina communis","Vascular plants",259,1.79861111111111
"144","Conringia planisiliqua","Vascular plants",0,0
"145","Contarinia pseudotsugae","Insects",0,0
"146","Cornus sanguinea","Vascular plants",1985,13.7847222222222
"147","Corvus albus","Birds",196,1.36111111111111
