"","species","LifeForm","google_sum","google_mean"
"1","Callosciurus prevostii","Mammals",80,0.555555555555556
"2","Cardamine graeca","Vascular plants",0,0
"3","Cenchrus alopecuroides","Vascular plants",0,0
"4","Chrysolina americana","Insects",150,1.04166666666667
"5","Ctenolepisma lineata","Insects",65,0.451388888888889
"6","Ischnura senegalensis","Insects",65,0.451388888888889
"7","Nyctereutes procyonoides","Mammals",402,2.79166666666667
"8","Obama nungara","Invertebrates (excl. Arthropods, Molluscs)",131,0.909722222222222
"9","Petrosedum sediforme","Vascular plants",0,0
"10","Tarentola mauritanica","Reptiles",625,4.34027777777778
"11","Telmatogeton japonicus","Insects",0,0
"12","Viburnum plicatum","Vascular plants",2332,16.1944444444444
