"species";"Region";"LifeForm";"off_FirstRec";"count";"firstRec";"phylum";"class";"timeLag";"eu_status";"google";"scopus";"EASIN_Id";"Status";"TER";"FRW";"MAR";"EST";"habitat";"worst_100_world_ISSG";"worst_100_Europe_DAISIE";"mentioned_in_EU_quarantine_species";"partly_native";"obsEffort_LF";"ResearchEffort";"nOccTotSp";"obsInNeigborCountryBefore";"google_country_porc";"google_country_tot"
"Abies grandis";"Austria";"Vascular plants";NA;4;2020;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";405467;37;829;NA;0;0
"Abies grandis";"Belgium";"Vascular plants";2019;67;2003;"Tracheophyta";"Pinopsida";-16;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;483;829;TRUE;0;0
"Abies grandis";"Denmark";"Vascular plants";NA;9;2019;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";63407;15;829;NA;0;0
"Abies grandis";"France";"Vascular plants";NA;7;2016;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";3156527;142;829;NA;47;1272.76
"Abies grandis";"Germany";"Vascular plants";NA;25;2011;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;48;829;NA;100;2708
"Abies grandis";"Italy";"Vascular plants";NA;2;2018;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";967299;161;829;NA;0;0
"Abies grandis";"Luxembourg";"Vascular plants";NA;5;2020;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";37577;1;829;NA;0;0
"Abies grandis";"Netherlands";"Vascular plants";NA;244;1996;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4472543;29;829;NA;0;0
"Abies grandis";"Norway";"Vascular plants";NA;16;2014;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;75;829;NA;0;0
"Abies grandis";"Poland";"Vascular plants";NA;2;2021;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";147169;16;829;NA;0;0
