"species";"Region";"LifeForm";"off_FirstRec";"count";"firstRec";"phylum";"class";"timeLag";"eu_status";"scopus";"EASIN_Id";"Status";"TER";"FRW";"MAR";"EST";"habitat";"worst_100_world_ISSG";"worst_100_Europe_DAISIE";"mentioned_in_EU_quarantine_species";"partly_native";"obsEffort_LF";"ResearchEffort";"nOccTotSp";"obsInNeigborCountryBefore";"google_sum";"google_mean";"google_country_porc";"google_country"
"Abies grandis";"Austria";"Vascular plants";NA;4;2020;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";405467;44;829;NA;405;2.8125;0;0
"Abies grandis";"Belgium";"Vascular plants";2019;67;2003;"Tracheophyta";"Pinopsida";-16;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;480;829;TRUE;405;2.8125;0;0
"Abies grandis";"Denmark";"Vascular plants";NA;9;2019;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";63407;18;829;NA;405;2.8125;0;0
"Abies grandis";"France";"Vascular plants";NA;7;2016;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";3156527;142;829;NA;405;2.8125;80;225
"Abies grandis";"Germany";"Vascular plants";NA;25;2011;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;829;NA;405;2.8125;100;281.25
"Abies grandis";"Italy";"Vascular plants";NA;2;2018;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";967299;162;829;NA;405;2.8125;0;0
"Abies grandis";"Luxembourg";"Vascular plants";NA;5;2020;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";37577;1;829;NA;405;2.8125;0;0
"Abies grandis";"Netherlands";"Vascular plants";NA;244;1996;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4472543;30;829;NA;405;2.8125;0;0
"Abies grandis";"Norway";"Vascular plants";NA;16;2014;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;76;829;NA;405;2.8125;0;0
"Abies grandis";"Poland";"Vascular plants";NA;2;2021;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";147169;17;829;NA;405;2.8125;0;0
"Abies grandis";"Sea or Ocean";"Vascular plants";NA;80;1995;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;829;FALSE;405;2.8125;NA;NA
"Abies grandis";"Sweden";"Vascular plants";NA;363;1991;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;26;829;NA;405;2.8125;0;0
"Abies grandis";"United Kingdom";"Vascular plants";NA;5;2020;"Tracheophyta";"Pinopsida";NA;"NO";5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";729813;102;829;FALSE;405;2.8125;30;84.375
"Abies homolepis";"Belgium";"Vascular plants";2016;2;2019;"Tracheophyta";"Pinopsida";3;"NO";150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;480;63;TRUE;97;0.673611111111111;0;0
"Abies homolepis";"Germany";"Vascular plants";NA;3;2010;"Tracheophyta";"Pinopsida";NA;"NO";150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;63;NA;97;0.673611111111111;0;0
"Abies homolepis";"Sea or Ocean";"Vascular plants";NA;10;2015;"Tracheophyta";"Pinopsida";NA;"NO";150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;63;FALSE;97;0.673611111111111;NA;NA
"Abies homolepis";"Sweden";"Vascular plants";NA;48;2002;"Tracheophyta";"Pinopsida";NA;"NO";150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;26;63;FALSE;97;0.673611111111111;0;0
"Abies nordmanniana";"Austria";"Vascular plants";NA;1;2020;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";405467;44;516;NA;1071;7.4375;0;0
"Abies nordmanniana";"Belgium";"Vascular plants";2016;16;2009;"Tracheophyta";"Pinopsida";-7;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1132699;480;516;TRUE;1071;7.4375;38;282.625
"Abies nordmanniana";"Czech Republic";"Vascular plants";NA;4;2018;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";391053;28;516;NA;1071;7.4375;100;743.75
"Abies nordmanniana";"Denmark";"Vascular plants";NA;12;2019;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";63407;18;516;NA;1071;7.4375;35;260.3125
